Dado 1;Dado 2;Dado 3;;;;;;;;;;;
0.32491153;0.24654262;-0.9962409;;;;;;;;;;;
0.31811574;0.25934342;-0.9787993;;;;;;;;;;;
0.31133005;0.27212518;-0.9613835;;;;;;;;;;;
0.30455446;0.28488797;-0.9439936;;;;;;;;;;;
0.3069058;0.27490968;-0.9562244;;;;;;;;;;;
0.3092537;0.2649462;-0.968437;;;;;;;;;;;
0.31257987;0.27042612;-0.9702523;;;;;;;;;;;
0.31590113;0.27589792;-0.9720648;;;;;;;;;;;
0.31192395;0.29089928;-0.95662266;;;;;;;;;;;
0.30795264;0.3058783;-0.9412035;;;;;;;;;;;
0.31100026;0.29839352;-0.9534384;;;;;;;;;;;
0.31404334;0.29091984;-0.96565515;;;;;;;;;;;
0.31708193;0.28345728;-0.9778538;;;;;;;;;;;
0.31324324;0.29031232;-0.96590954;;;;;;;;;;;
0.30941024;0.29715717;-0.95398307;;;;;;;;;;;
0.31007126;0.29557624;-0.9493679;;;;;;;;;;;
0.3107313;0.2939977;-0.94475955;;;;;;;;;;;
0.31139034;0.2924215;-0.940158;;;;;;;;;;;
0.31260946;0.28790215;-0.94832695;;;;;;;;;;;
0.31382677;0.28338954;-0.9564838;;;;;;;;;;;
0.30578512;0.29276937;-0.94344926;;;;;;;;;;;
0.2977554;0.30213526;-0.93043405;;;;;;;;;;;
0.30530646;0.2912898;-0.9452097;;;;;;;;;;;
0.3128463;0.28046045;-0.9599633;;;;;;;;;;;
0.3149048;0.28535628;-0.9566015;;;;;;;;;;;
0.31696028;0.29024488;-0.95324475;;;;;;;;;;;
0.31340227;0.29147944;-0.9550826;;;;;;;;;;;
0.30984956;0.29271215;-0.9569177;;;;;;;;;;;
0.31387618;0.2912781;-0.96323836;;;;;;;;;;;
0.3178968;0.28984618;-0.96954966;;;;;;;;;;;
0.32191148;0.2884164;-0.9758516;;;;;;;;;;;
0.31652278;0.30017316;-0.9674169;;;;;;;;;;;
0.31114206;0.31191248;-0.9589946;;;;;;;;;;;
0.30703166;0.31241354;-0.96110445;;;;;;;;;;;
0.30292737;0.31291386;-0.9632111;;;;;;;;;;;
0.3089279;0.30990696;-0.96741855;;;;;;;;;;;
0.3149195;0.30690452;-0.9716197;;;;;;;;;;;
0.32090223;0.30390656;-0.97581464;;;;;;;;;;;
0.848082;4.283033;3.3081636;;;;;;;;;;;
1.3744787;8.256248;7.5857787;;;;;;;;;;;
1.9000936;12.223564;11.85704;;;;;;;;;;;
2.1974263;12.412274;9.34572;;;;;;;;;;;
2.494317;12.600705;6.8381305;;;;;;;;;;;
5.1333885;13.0186;7.538503;;;;;;;;;;;
7.76854;13.435876;8.237835;;;;;;;;;;;
10.635134;13.777071;8.091343;;;;;;;;;;;
13.49747;14.11776;7.9450684;;;;;;;;;;;
16.355555;14.457943;7.799011;;;;;;;;;;;
