sep=,
Dado 1,Dado 2,Dado 3
-4.287051,0.7007507,-0.36242086
-4.300657,0.68682253,-0.36049363
-4.2959175,0.6958441,-0.35998175
-4.2911897,0.7048433,-0.3594711
-4.2864747,0.71381795,-0.35896188
-4.296496,0.7150181,-0.35921428
-4.3064675,0.7162123,-0.35946542
-4.310859,0.7035463,-0.35381272
-4.3152385,0.6909155,-0.3481758
-4.3244176,0.6965595,-0.34385914
-4.3335505,0.7021753,-0.33956409
-4.326716,0.7070401,-0.3325804
-4.319914,0.7118817,-0.32562974
-4.2972355,0.71091646,-0.3235835
-4.274661,0.70995563,-0.32154658
-4.2521877,0.70899916,-0.3195188
-4.24065,0.713104,-0.322909
-4.2291636,0.7171909,-0.32628435
-4.1496215,0.69155496,-0.32507828
-4.0703845,0.66601753,-0.32387686
-4.042278,0.6512178,-0.31997728
-4.0142536,0.63646215,-0.31608927
-3.9863176,0.62175256,-0.31221342
-3.9918003,0.61826617,-0.32025024
-3.9972568,0.6147965,-0.3282484
-4.0070267,0.6214695,-0.33106434
-4.0167527,0.62811184,-0.3338673
-4.0424485,0.61421204,-0.3327511
-4.06809,0.600341,-0.33163717
-4.093672,0.5865026,-0.33052588
-4.1001725,0.5846046,-0.32736513
-4.106639,0.5827164,-0.3242207
-4.105987,0.5788584,-0.3173129
-4.105336,0.5750044,-0.31041214
-4.0781665,0.5642088,-0.30941713
-4.0511994,0.55349404,-0.30842954
-4.0244203,0.54285395,-0.30744883
-4.0225143,0.54764307,-0.30493805
-4.0206175,0.5524116,-0.30243796
-3.977581,0.5694317,-0.30102944
-3.9347284,0.5863795,-0.29962692
-3.892057,0.60325557,-0.29823035
-3.872666,0.60995406,-0.299542
-3.8360724,0.6130099,-0.2923012
-3.7994938,0.61606455,-0.28506333
-3.7629492,0.6191163,-0.27783233
-3.7317774,0.62882507,-0.2743012
-3.7008376,0.63846153,-0.27079633
-3.670112,0.6480312,-0.26731578
-3.650666,0.6550926,-0.2708291
-3.6312933,0.66212744,-0.27432922
-3.636195,0.644332,-0.26995742
-3.6410732,0.6266227,-0.2656068
-3.6385984,0.61590415,-0.26002708
-3.6361337,0.6052305,-0.2544707
-3.6336792,0.5946016,-0.2489376
-3.6347322,0.6000416,-0.24908628
-3.635783,0.6054692,-0.24923462
-3.6485221,0.61869454,-0.24506328
-3.6612015,0.6318578,-0.2409115
-3.6738224,0.6449606,-0.23677881
-3.6950605,0.64788467,-0.23510014
-3.7162032,0.65079564,-0.23342896
-3.7169251,0.65398204,-0.23672523
-3.7176454,0.65716225,-0.24001497
-3.73367,0.6539576,-0.23828362
-3.7496543,0.6507612,-0.23655666
-3.765595,0.6475735,-0.2348344
-3.7706974,0.65726507,-0.23060864
-3.77577,0.6668997,-0.22640769
-3.7727296,0.65670097,-0.22612377
-3.769704,0.64655185,-0.22584121
-3.7604413,0.6485375,-0.22142485
-3.7512043,0.6505178,-0.2170205
-3.7179174,0.6568937,-0.21307383
-3.6847801,0.6632409,-0.20914486
-3.6517887,0.66956013,-0.2052332
-3.6035848,0.65003574,-0.20167679
-3.5557275,0.6306517,-0.19814596
-3.5154228,0.64444286,-0.19798076
-3.4752774,0.6581794,-0.19781621
-3.4497166,0.663207,-0.20143192
-3.424259,0.6682142,-0.20503299
-3.3989048,0.67320096,-0.20861936
-3.3982565,0.66594875,-0.20745273
-3.3976095,0.65871245,-0.20628867
-3.388936,0.6514523,-0.205817
-3.380303,0.64422584,-0.20534752
-3.371709,0.63703245,-0.2048802
-3.3429177,0.6269805,-0.19819205
-3.3142533,0.61697316,-0.19153361
-3.2553728,0.60936373,-0.19773372
-3.1967206,0.6017838,-0.20390974
-3.1887138,0.60200334,-0.20399173
-3.180746,0.60222185,-0.20407331
-3.1728172,0.6024393,-0.20415449
-3.11748,0.597599,-0.20855589
-3.0623739,0.592779,-0.21293896
-3.0668004,0.60062355,-0.21012217
-3.0712187,0.6084541,-0.20731041
-3.079125,0.618781,-0.20547786
-3.086993,0.6290584,-0.20365413
-3.078188,0.6429043,-0.20238051
-3.069423,0.6566865,-0.20111275
-3.0606978,0.67040634,-0.19985072
-3.0773027,0.66816753,-0.20156996
-3.0938344,0.66593856,-0.20328161
-3.1172059,0.67568755,-0.20555581
-3.1405203,0.68541294,-0.20782448
-3.1517572,0.6831075,-0.20951389
-3.16294,0.68081313,-0.21119522
-3.130675,0.6712969,-0.20718281
-3.098558,0.6618242,-0.2031888
-3.0665858,0.65239435,-0.19921283
-3.0398142,0.65239984,-0.2114842
-3.0568645,0.65762997,-0.20712593
-3.0738733,0.6628473,-0.20277835
-3.0908358,0.6680505,-0.19844249
-3.0964985,0.6629181,-0.21210928
-3.1021333,0.65781116,-0.22570844
-3.0679395,0.6657547,-0.23463677
-3.0339062,0.67366093,-0.2435232
-3.0000293,0.6815308,-0.25236872
-2.9887114,0.6785238,-0.25251615
-2.9774444,0.6755302,-0.25266293
-3.0117385,0.6761619,-0.26227444
-3.045883,0.6767908,-0.2718439
-3.04593,0.677357,-0.29830238
-3.0459769,0.67792183,-0.3246974
