sep=,
Ang X,Ang Y,Ang Z,Tempo
0.0,0.0,0.0,0.0
0.0051625697,0.010387339,-0.009578744,0.008492324
6.349236E-4,0.0072237914,-0.0028778622,0.020500379
2.0815487E-4,0.01344011,-3.643867E-4,0.028995268
-0.0015832835,0.020699475,0.005165457,0.041179515
0.016597303,0.026331335,5.118386E-4,0.04930748
-0.04555157,0.078120366,0.03255047,0.061350603
-0.047530103,0.12277408,0.045100834,0.06979674
-0.07221737,0.11494897,0.049196452,0.08183131
-0.07738208,0.13842288,0.0508693,0.090225704
-0.06671313,0.1375505,0.053019494,0.09850976
-0.07202853,0.13308367,0.05673414,0.11065252
-0.07478771,0.13469195,0.057345968,0.11898875
-0.07238843,0.1448001,0.060039416,0.13094762
-0.07332657,0.13777992,0.061607625,0.13965848
-0.07465764,0.15464287,0.06682641,0.15146853
-0.0752513,0.16335331,0.069585755,0.16007717
-0.08292548,0.16943474,0.07046483,0.17195992
-0.085405014,0.17725232,0.073585466,0.18035474
-0.08526431,0.17649299,0.078141026,0.1924603
-0.08462878,0.1819425,0.07791843,0.20091456
-0.090403244,0.17958279,0.08028479,0.21279004
-0.092936575,0.18552661,0.08379482,0.22113355
-0.098068565,0.18885875,0.08657885,0.22984226
-0.09965937,0.19931553,0.088794515,0.2418965
-0.10199046,0.20207758,0.09334595,0.25085667
-0.1036517,0.21004938,0.100257166,0.26207358
-0.10634476,0.21407773,0.102648005,0.27050516
-0.10507991,0.21634912,0.10605158,0.28245163
-0.10503077,0.22104688,0.10686661,0.29107395
-0.1058551,0.2274125,0.10877442,0.2992481
-0.111886434,0.23417203,0.11482993,0.31129593
-0.1140805,0.24068087,0.1160707,0.31972623
-0.11552815,0.24796014,0.12161751,0.3319109
-0.11705614,0.25244,0.12515013,0.34010857
-0.11747837,0.26097006,0.12880486,0.35207385
-0.11798701,0.26353103,0.13243334,0.36076248
-0.121809,0.27045777,0.13361414,0.37259007
-0.12627152,0.27498162,0.13784783,0.38110378
-0.12812705,0.2797775,0.13966724,0.38936603
-0.13112564,0.2870496,0.14324094,0.40139803
-0.13341661,0.2906756,0.1465621,0.41029406
-0.13854787,0.29634973,0.14497592,0.4219305
-0.13856055,0.29762876,0.14896922,0.43024105
-0.13722493,0.3042394,0.15239577,0.44224483
-0.14046048,0.30878705,0.15505582,0.45070893
-0.14080602,0.3162785,0.15808374,0.46284443
-0.1447601,0.31985882,0.1604046,0.4710297
-0.14329176,0.32196137,0.16388811,0.47953826
-0.14452711,0.325857,0.1686651,0.49170968
-0.14295775,0.3303302,0.17028634,0.50006473
-0.14443271,0.3373008,0.17427926,0.51207024
-0.1461025,0.33976382,0.17605211,0.5203693
-0.14992744,0.34609172,0.17574152,0.5325428
-0.14883578,0.35109854,0.17625418,0.54106766
-0.15147501,0.35430393,0.1765767,0.55303895
-0.15592255,0.3602019,0.18062782,0.5613568
-0.15554719,0.3699567,0.18606642,0.5733315
-0.1591398,0.37038055,0.1883001,0.581843
-0.16197328,0.374407,0.19181123,0.593893
-0.16264449,0.38071534,0.19556211,0.6021608
-0.16640662,0.3849243,0.19905297,0.61054796
-0.16961735,0.39423248,0.20415682,0.62264115
-0.16993971,0.3968453,0.20745128,0.6310244
-0.1637986,0.40183476,0.21212421,0.64317787
-0.16386183,0.4042407,0.217013,0.6514748
-0.16472577,0.40493715,0.22285658,0.66346014
-0.17079766,0.41203818,0.22791763,0.6719897
-0.17675205,0.43753994,0.22937706,0.6840003
-0.1873896,0.44221562,0.22738151,0.6925183
-0.18113084,0.44250512,0.23257588,0.7043245
-0.18323939,0.44608006,0.23318242,0.7128155
-0.18645102,0.45759636,0.23458056,0.72494334
-0.19022821,0.45326865,0.23971544,0.7330974
-0.19189091,0.45683348,0.2409651,0.7417193
-0.18987292,0.45950195,0.24306981,0.7536226
-0.1923487,0.46605706,0.2450142,0.7620999
-0.19037476,0.46863946,0.24707526,0.77402246
