sep=,
Ang X,Ang Y,Ang Z,Tempo
0.0,0.0,0.0,0.0
0.02063398,-0.2155685,0.008619257,0.01188703
0.0043480936,-0.2965201,0.022599533,0.020404156
-0.043758415,-0.20000365,0.029983664,0.032389976
-0.08311826,-0.033802554,0.020249272,0.041221857
-0.12864715,0.23159258,-0.0048112776,0.052865125
-0.15877295,0.4059468,-0.024999179,0.06138268
-0.18178572,0.53543925,-0.04126464,0.073335566
-0.17888352,0.49800608,-0.047853164,0.08196174
-0.16551709,0.32603186,-0.045046356,0.09394542
-0.1513742,0.16227107,-0.04196607,0.10228507
-0.13510504,-0.10984279,-0.034719277,0.114181936
-0.162404,-0.1646537,-0.023170933,0.122729
-0.20634966,-0.17677835,-0.009209493,0.13475332
-0.2268327,-0.21781494,-0.0026097973,0.14321485
-0.2570081,-0.21672983,8.167024E-4,0.15150832
-0.2730885,-0.2819552,0.0021747767,0.16354375
-0.27577585,-0.38037777,0.01225797,0.17210706
-0.26479197,-0.5253911,0.02486227,0.1838474
-0.25264245,-0.6165992,0.034579773,0.19224393
-0.2610891,-0.6487417,0.0523716,0.20430116
-0.2673802,-0.6763321,0.07106206,0.2128585
-0.28124177,-0.6910241,0.09004903,0.2211387
-0.29875156,-0.7599679,0.11760336,0.2331707
-0.30910897,-0.8322469,0.13754132,0.24176738
-0.32354933,-0.9572604,0.160874,0.25370702
-0.3337145,-1.0116812,0.16940853,0.2621617
-0.33635998,-1.1009126,0.17825107,0.27415523
-0.33872062,-1.1452739,0.18599768,0.28247178
-0.34802318,-1.1888303,0.19820559,0.29444262
-0.34538,-1.2826134,0.21641208,0.30299312
-0.34810197,-1.3851256,0.23672453,0.31127718
-0.3757801,-1.4830108,0.26564872,0.32326087
-0.38786983,-1.5756572,0.2829438,0.3318062
-0.4042662,-1.721849,0.31297708,0.3438241
-0.4068125,-1.8400105,0.32781774,0.3521013
-0.3902982,-2.106112,0.35015184,0.36410934
-0.37755677,-2.3369732,0.36608526,0.37259695
-0.36889336,-2.7263896,0.3864073,0.38458747
-0.3617948,-2.9871972,0.3994635,0.3930597
-0.3692371,-3.3643978,0.4207082,0.40501773
-0.3752366,-3.6158864,0.43462282,0.41346687
-0.37966684,-3.9548397,0.4510639,0.42546168
-0.3820564,-4.2296243,0.46206993,0.43392107
-0.38334945,-4.52505,0.47569504,0.44229108
-0.37890863,-4.8953133,0.48807165,0.45427218
-0.37988022,-5.1609235,0.49081206,0.46281624
-0.37855086,-5.4550047,0.49214795,0.47505608
-0.37576476,-5.6592603,0.48893481,0.48314214
-0.3585135,-6.016634,0.47684258,0.49501804
-0.34548312,-6.2673974,0.47273266,0.5035967
-0.32350168,-6.578029,0.45922527,0.51561373
-0.30462793,-6.8025284,0.44808918,0.52396834
-0.2879968,-6.9908576,0.44069058,0.5324478
-0.2736869,-7.2149663,0.4345351,0.5443494
-0.26950967,-7.3807354,0.43449304,0.55285966
-0.26817098,-7.628824,0.4338846,0.56493956
-0.26822996,-7.8525667,0.4410564,0.57346356
-0.2707344,-8.212098,0.44935656,0.58542454
-0.27156094,-8.446177,0.45358515,0.594315
-0.26697168,-8.751217,0.4560309,0.60593086
-0.2621734,-9.022547,0.4614208,0.61426497
-0.25968936,-9.434968,0.47199157,0.62612593
-0.25463784,-9.687535,0.47324622,0.63468367
-0.24246782,-9.876603,0.46298775,0.6467529
-0.23750181,-9.908305,0.45726222,0.65502584
-0.2371447,-9.970997,0.45080155,0.66353786
-0.23860198,-10.007684,0.44303373,0.675729
-0.23891833,-10.051588,0.4365078,0.6840306
-0.25265828,-10.180935,0.43796667,0.69584703
-0.2562044,-10.308535,0.43515125,0.704356
-0.2462639,-10.6379595,0.42701283,0.71634823
-0.22209223,-10.9888,0.4165172,0.7250565
-0.20334731,-11.314765,0.40956458,0.73314
-0.20720194,-11.731525,0.42392126,0.7451322
-0.22167672,-12.014221,0.44023475,0.7536763
-0.23676352,-12.361999,0.4616245,0.76566595
-0.24283879,-12.5757,0.46871647,0.7740937
-0.24166517,-12.865009,0.46834698,0.7859516
-0.23586358,-13.05679,0.46266967,0.7945624
-0.2245137,-13.365399,0.4574844,0.8064708
-0.22632,-13.575434,0.4555006,0.81487507
-0.22662432,-13.81658,0.45388106,0.82367104
-0.22939315,-14.20624,0.4572762,0.8352181
-0.22851774,-14.508658,0.455961,0.8436706
-0.21596925,-15.0314,0.4503325,0.8557347
-0.2085472,-15.385289,0.4490321,0.86403203
-0.207544,-15.772368,0.44498694,0.8761158
-0.19895004,-16.004356,0.43285486,0.88462436
-0.15567797,-16.439074,0.39763832,0.89653665
-0.11484982,-16.781788,0.363975,0.9050957
-0.04583846,-17.269161,0.3065026,0.91710633
-0.0074762255,-17.696922,0.2638671,0.9256671
0.011416808,-18.221262,0.22889856,0.93739635
0.033173885,-18.61841,0.20120776,0.9460255
0.06285999,-19.004278,0.16772813,0.95422655
0.10754823,-19.489422,0.118102804,0.9662795
0.13664664,-19.787668,0.08122468,0.9749408
0.16982955,-20.155228,0.03700668,0.98696464
0.19271363,-20.369429,0.0113676265,0.9950691
0.21807358,-20.602686,-0.025251936,1.0070553
0.22679147,-20.782679,-0.049807627,1.0156182
0.22972251,-21.067564,-0.06796664,1.0277413
0.27356705,-21.428268,-0.10624699,1.035933
0.34735292,-22.010496,-0.16594318,1.0445092
0.4335147,-22.770477,-0.24621469,1.0564108
0.49580175,-23.321356,-0.29880884,1.0649322
0.5677015,-24.011816,-0.36245933,1.0768116
0.60083747,-24.394533,-0.40419278,1.0854044
0.6339681,-24.80805,-0.45575118,1.0974505
0.6656666,-25.138874,-0.4963316,1.1059453
0.7201259,-25.708336,-0.5725904,1.1179414
0.7219328,-26.057995,-0.6198943,1.1263777
0.7213787,-26.523252,-0.67404306,1.1382357
0.7206414,-26.796495,-0.70144826,1.1467631
0.71569604,-27.102142,-0.7360878,1.1590346
0.70783573,-27.292912,-0.74768364,1.1669402
0.69824314,-27.553108,-0.756385,1.1755579
0.666776,-28.119888,-0.77352685,1.1875377
0.6369443,-28.572159,-0.7866028,1.1959722
0.5887304,-29.10779,-0.7857644,1.2077934
0.49085656,-29.381336,-0.7540842,1.2163494
0.3698719,-29.686049,-0.7263685,1.2283103
0.32041255,-29.809872,-0.7141846,1.2368497
0.26497602,-29.825897,-0.7002712,1.2451111
0.23036942,-29.817162,-0.70165586,1.2571893
0.19364032,-29.848623,-0.69208556,1.2657005
0.0885295,-29.789072,-0.65005517,1.2778509
0.044316683,-29.768816,-0.6293221,1.286055
-0.009529382,-29.904583,-0.61285836,1.2979515
-0.04198283,-30.041626,-0.6023347,1.3064681
-0.06712779,-30.245213,-0.6014655,1.3184569
-0.09500977,-30.407246,-0.59590477,1.3268418
-0.12552953,-30.539526,-0.5954253,1.3352649
-0.16366728,-30.718899,-0.6015595,1.3473089
-0.19943169,-30.77997,-0.6031296,1.3556725
-0.2611775,-30.835356,-0.60935634,1.3678392
-0.3069543,-30.885902,-0.6155717,1.3762708
-0.3722691,-31.067854,-0.6113343,1.3880479
-0.41314852,-31.232851,-0.6126401,1.3965843
-0.48687628,-31.48794,-0.6153701,1.4087313
-0.54553884,-31.708345,-0.6144068,1.416991
-0.629247,-32.03259,-0.60996145,1.4289417
-0.6935379,-32.25717,-0.60407597,1.4374738
-0.77788126,-32.559692,-0.6014522,1.449448
-0.8331225,-32.741962,-0.6132945,1.4580185
-0.88060886,-32.923363,-0.62293977,1.4662803
-0.9485462,-33.21742,-0.63527274,1.4783748
-1.0045164,-33.45423,-0.6395981,1.4867611
-1.0849205,-33.861874,-0.66586286,1.4989723
-1.1373181,-34.15019,-0.6836723,1.5071156
-1.2403052,-34.538536,-0.69709086,1.5191061
-1.2948936,-34.851017,-0.7137205,1.5274856
-1.3583167,-35.33449,-0.75379384,1.5396796
-1.3998806,-35.706688,-0.78199196,1.5478572
-1.4537964,-36.065197,-0.79336476,1.5564038
-1.5182192,-36.530567,-0.8100088,1.5684199
-1.5784943,-36.77943,-0.8215405,1.5767763
-1.6478009,-37.08363,-0.8346374,1.5889088
-1.6922624,-37.27582,-0.85097533,1.5973665
-1.742313,-37.58804,-0.91879594,1.6096734
-1.802707,-37.84836,-0.9563192,1.6180044
-1.8911791,-38.19305,-0.9997224,1.6298221
-1.9267468,-38.473583,-1.0427821,1.6381742
-1.9639266,-38.897915,-1.0946994,1.6502087
-2.025291,-39.150078,-1.1042856,1.6589687
-2.0955813,-39.48244,-1.1124818,1.6706465
-2.1619205,-39.70979,-1.1161195,1.6789682
-2.1988409,-39.991196,-1.1292291,1.6874819
-2.2510872,-40.506145,-1.1544826,1.6995267
-2.326525,-40.83765,-1.1550013,1.7080584
-2.424485,-41.27388,-1.1455634,1.7197922
-2.5047393,-41.58364,-1.1483443,1.7285292
-2.6124103,-42.0013,-1.1659552,1.7403396
-2.6738126,-42.254284,-1.186187,1.7488393
-2.724076,-42.487682,-1.2188762,1.7571374
-2.7976103,-42.761772,-1.2635424,1.769181
-2.8491755,-42.90996,-1.2828729,1.777504
-2.9196873,-43.124954,-1.3071862,1.7896844
-2.9620216,-43.30208,-1.3222697,1.7979634
-2.9949143,-43.67167,-1.3863683,1.8099881
-3.040855,-43.933365,-1.4245421,1.818436
-3.1415093,-44.204865,-1.436004,1.8304253
-3.202767,-44.335426,-1.4338171,1.8389736
-3.2509973,-44.38556,-1.4282681,1.8472496
-3.2979877,-44.298584,-1.4148049,1.8594382
-3.3273783,-44.111416,-1.4160521,1.8676175
-3.4107969,-43.54872,-1.3880183,1.8796041
-3.523684,-42.87809,-1.3384675,1.8880935
-3.7235825,-41.70251,-1.2320714,1.9000789
-3.8386583,-41.022675,-1.1468521,1.9085187
-3.9761322,-40.29378,-1.025584,1.9206281
-4.037816,-39.97366,-0.94757235,1.9289373
-4.093275,-39.522255,-0.8454214,1.9409355
-4.1231847,-39.1864,-0.7862203,1.9494292
-4.1546474,-38.807426,-0.7006094,1.9616404
-4.1860485,-38.46725,-0.65064484,1.9699552
-4.2247825,-38.013638,-0.5950686,1.9782033
-4.3272405,-37.087807,-0.48626325,1.9902815
-4.375027,-36.35924,-0.40751466,1.9987451
-4.490781,-35.325924,-0.2905761,2.0106604
-4.5014553,-35.08449,-0.22503853,2.019104
-4.495624,-35.18653,-0.14183319,2.031068
-4.5038686,-35.14141,-0.103629604,2.0396032
-4.508674,-35.049004,-0.04993245,2.0515711
-4.514564,-34.967888,-0.017348178,2.0599706
-4.526114,-34.798107,-0.0017540082,2.068342
-4.5485272,-34.48811,0.019713484,2.0803385
-4.560673,-34.217308,0.03023197,2.088942
-4.5822377,-33.738644,0.051583283,2.100898
-4.60951,-33.34412,0.08526152,2.1094306
-4.6816144,-32.63299,0.1464761,2.1213925
-4.7068424,-32.26781,0.18870494,2.129723
-4.709805,-32.06235,0.25440842,2.1419475
-4.7053227,-31.98579,0.29041702,2.1502032
-4.701059,-31.9178,0.33515325,2.1622276
-4.711828,-31.912542,0.37134182,2.1705532
-4.7352233,-31.867096,0.4144439,2.1824446
-4.757311,-31.782307,0.43938565,2.1909804
-4.781075,-31.665253,0.45710725,2.1993496
-4.8174443,-31.43544,0.47314587,2.2114005
-4.8492923,-31.19286,0.49600708,2.219827
-4.9142413,-30.66234,0.5308736,2.2317588
-4.9527364,-30.23876,0.54425037,2.240329
-4.9586444,-30.077322,0.5753766,2.2521775
-4.974648,-30.02173,0.6027412,2.260737
-5.001487,-29.890257,0.6272725,2.2689946
-5.0383534,-29.77484,0.67370963,2.2810855
-5.0636873,-29.722076,0.7082581,2.2894769
-5.1035476,-29.615463,0.75682044,2.3016508
-5.141704,-29.501505,0.798916,2.3102555
-5.2025905,-29.228268,0.84319246,2.3219514
-5.25742,-28.910906,0.8567478,2.3305266
-5.3463826,-28.275225,0.85959184,2.3423712
-5.4071126,-27.794302,0.85458404,2.3509674
-5.436328,-27.572273,0.86484903,2.3590236
-5.4495544,-27.498861,0.90668696,2.3712788
-5.455452,-27.474634,0.9386209,2.3797154
-5.468149,-27.41646,0.9888288,2.391641
-5.478847,-27.363148,1.0216079,2.4001148
-5.4949536,-27.25547,1.0622418,2.4121683
-5.509926,-27.16064,1.0866967,2.420483
-5.5312147,-27.008299,1.1171551,2.4324257
-5.549324,-26.902245,1.1357505,2.4409432
-5.576844,-26.695919,1.1573062,2.4529035
-5.6003838,-26.488604,1.1659528,2.4613364
-5.6360707,-26.106487,1.1858159,2.473403
-5.673036,-25.776741,1.2124832,2.481947
-5.7042212,-25.478779,1.2350065,2.4902763
-5.733545,-25.154749,1.2610747,2.5022635
-5.7520995,-24.955322,1.2757225,2.5108829
