sep=,
Ang X,Ang Y,Ang Z,Tempo
0.0,0.0,0.0,0.0
0.009997346,0.004998673,-0.016067164,0.012187242
0.008400975,0.0038483464,-0.017391454,0.020405866
0.00786009,0.005355272,-0.0179876,0.032590542
0.0079063745,0.005191863,-0.018785968,0.04093233
0.0068345983,0.0058672708,-0.019083485,0.053157635
0.007526458,0.007725951,-0.02058073,0.06135659
0.004587706,0.0074717617,-0.018651858,0.06979674
0.0036290542,0.0083058905,-0.019403886,0.08180308
0.0054815835,0.0055801515,-0.02141268,0.090078585
0.002683523,-6.154422E-4,-0.021787757,0.1024912
0.0032013147,-0.0013875593,-0.023143811,0.11055331
0.0021600202,-1.2478826E-4,-0.020615812,0.12275766
0.0015809061,-3.5634416E-4,-0.024082722,0.13111056
0.0012830682,0.0033900444,-0.026468743,0.14314641
4.1621976E-4,0.004821997,-0.024069844,0.15151942
0.0012449544,0.0032043357,-0.023299953,0.1635125
3.1729584E-4,0.004340759,-0.023772543,0.17217417
-0.0010460685,0.0064723385,-0.024131034,0.18411808
-0.0043757,0.0043769507,-0.025591781,0.19244063
-0.0053022187,0.0040276353,-0.02569908,0.2007713
-0.005889111,0.006285618,-0.021512859,0.21289867
-0.0067498507,0.0068689366,-0.02102498,0.2211374
-0.0077715735,0.008903157,-0.018417958,0.23319378
-0.007549568,0.009817712,-0.017201545,0.24176309
-0.008152729,0.008958757,-0.01711578,0.2537703
-0.0082921265,0.009648855,-0.016365634,0.2621386
-0.009210596,0.010202724,-0.01839298,0.27044833
-0.008642569,0.010115163,-0.019203981,0.28257313
-0.009481306,0.009053972,-0.018054593,0.2909051
-0.0057026166,0.010563162,-0.017257612,0.30305853
-0.006387188,0.008220775,-0.017163234,0.31132847
-0.009145506,0.00630044,-0.01801722,0.32330233
-0.009652404,0.004997551,-0.018458527,0.33168304
-0.011347474,0.0069969594,-0.017852379,0.3436556
-0.011332698,0.005535122,-0.017104683,0.35255075
-0.010407743,0.0061563672,-0.01735549,0.3604392
-0.013383089,0.007412171,-0.01842342,0.37261662
-0.012732185,0.006753872,-0.019294837,0.380949
-0.012694688,0.009673556,-0.018184848,0.39294934
-0.014583469,0.00608149,-0.019652313,0.4015503
-0.018601678,0.004461062,-0.018498303,0.41342536
-0.020061709,0.00261856,-0.015208781,0.42178425
-0.02199303,4.585234E-4,-0.014298343,0.4337953
-0.023428727,-2.5261496E-4,-0.011875161,0.44236332
-0.025949432,-6.111433E-5,-0.0139896525,0.45426574
-0.02551876,0.0020620965,-0.013975192,0.46285814
-0.026110375,0.002853657,-0.011142204,0.47486705
-0.026127124,0.0045350213,-0.011174053,0.48336622
-0.025583483,0.005546824,-0.012251779,0.49162334
-0.026089292,0.0075483103,-0.011221661,0.50386703
-0.025937138,0.008195109,-0.012622873,0.5155749
-0.026815342,0.0060484163,-0.015551703,0.5241831
-0.029301904,0.006863109,-0.015714673,0.532554
-0.029795237,0.0034569416,-0.01842658,0.5445342
-0.029745355,0.003077073,-0.019973423,0.55332077
-0.033163212,0.0014022107,-0.022860458,0.5649961
-0.034584478,8.967938E-6,-0.022568388,0.573219
-0.03532484,-0.002363592,-0.018948741,0.58168226
-0.037213128,-0.008419493,-0.021187514,0.59368604
-0.039394133,-0.008851645,-0.018621977,0.6019902
-0.04322285,-0.008096826,-0.021519406,0.6143092
-0.043822832,-0.0077265524,-0.020905927,0.6227566
-0.044471066,-0.008262715,-0.024451036,0.6347364
-0.042737756,-0.007963143,-0.024223745,0.64674664
-0.043192722,-0.009553781,-0.02464621,0.65536
-0.044233024,-0.009816049,-0.0259741,0.6635756
-0.045089822,-0.009243555,-0.022940215,0.67564607
-0.04645442,-0.010468161,-0.020711,0.6839682
-0.05092811,-0.017513625,-0.024432408,0.6959694
-0.05062408,-0.0152816465,-0.022809034,0.7043313
-0.05233834,-0.015953273,-0.024026204,0.71275
-0.05120041,-0.011961113,-0.022047495,0.7248051
-0.053302124,-0.012636024,-0.02212836,0.737024
-0.053658288,-0.013454664,-0.022958063,0.7452114
-0.055838022,-0.0136956675,-0.023351075,0.7536571
-0.055962548,-0.01365201,-0.020793783,0.7657195
-0.0565149,-0.01452602,-0.020223042,0.7740467
-0.05852585,-0.014429188,-0.019991545,0.7863246
-0.060489964,-0.0133727435,-0.019018102,0.794477
-0.060698655,-0.012846718,-0.018398022,0.80307025
-0.059403647,-0.011889941,-0.016865509,0.81496286
-0.059438895,-0.011099446,-0.01669994,0.82683706
-0.058941107,-0.012532649,-0.01892732,0.8353499
-0.056667197,-0.012366273,-0.018027306,0.84366906
-0.056006074,-0.01450515,-0.022986902,0.85571605
-0.058866795,-0.013398404,-0.022238761,0.8642627
-0.06092813,-0.0113778,-0.020536436,0.876074
-0.06198112,-0.010906725,-0.020972019,0.8845544
-0.06054802,-0.00581828,-0.021154692,0.8965423
-0.061185837,-0.0053271074,-0.02194884,0.9049585
-0.06090354,-0.004159499,-0.023322448,0.91336274
-0.061148565,-0.0025580428,-0.022686748,0.92524034
-0.06109319,-0.0021594937,-0.021220678,0.9337609
-0.06144219,-0.0022558477,-0.017423045,0.94578004
-0.06298389,-0.0011322916,-0.017236346,0.95449305
-0.06315318,-8.435169E-4,-0.018069975,0.9662475
-0.06240925,-0.002853889,-0.018144067,0.9747676
-0.06280735,-0.0042303298,-0.020154998,0.98678464
-0.0634363,-0.0054643545,-0.0201991,0.99521923
-0.061983418,-0.0054774033,-0.020972138,1.0071743
-0.062126625,-0.007031662,-0.02085893,1.0155435
-0.06458413,-0.00889282,-0.020964732,1.0239122
-0.06252593,-0.009312301,-0.019758007,1.0364596
-0.064284585,-0.012264366,-0.019481963,1.0444357
-0.06667437,-0.010540059,-0.021204714,1.0564296
-0.06874291,-0.010137759,-0.021491315,1.0649651
-0.07202141,-0.0132202925,-0.021929055,1.0769582
-0.07279303,-0.012340381,-0.021681957,1.085391
-0.07335865,-0.013539564,-0.021824671,1.0972725
-0.07477159,-0.013152447,-0.023149103,1.1059389
-0.07345199,-0.014292781,-0.021635184,1.1140878
-0.076768376,-0.013677519,-0.02322436,1.1262875
-0.07532155,-0.014209682,-0.021341851,1.1382484
-0.07765843,-0.013057681,-0.021275539,1.1467934
-0.076364055,-0.014238144,-0.021501694,1.1550107
-0.07788915,-0.018521164,-0.024077695,1.1671594
-0.07866917,-0.019521914,-0.02376767,1.1755546
-0.079327516,-0.02066201,-0.023030903,1.1875277
-0.080461204,-0.022946075,-0.024422523,1.1959858
-0.08314376,-0.022930782,-0.024745366,1.2079036
-0.082727656,-0.024426837,-0.025172368,1.2162946
-0.08258847,-0.027695116,-0.026035221,1.2246629
-0.08467386,-0.031744335,-0.026341362,1.2370913
-0.08754801,-0.029636737,-0.025403649,1.2486614
-0.08744411,-0.029279849,-0.0250469,1.2572936
-0.08912439,-0.02982868,-0.023758119,1.2655063
-0.09002448,-0.02775714,-0.02642198,1.2776529
-0.08919129,-0.026495809,-0.027831394,1.2860203
-0.08818491,-0.021572521,-0.02658647,1.2979231
-0.0888968,-0.022503616,-0.027711159,1.306347
-0.08736353,-0.024160609,-0.028281959,1.3182832
-0.0885674,-0.025227837,-0.02997007,1.3268003
-0.08916818,-0.025408316,-0.029782208,1.3389132
-0.08778797,-0.02695262,-0.028428983,1.3472041
-0.08859484,-0.025989084,-0.025957916,1.3556194
-0.09233358,-0.02789915,-0.026326865,1.3676237
-0.08858451,-0.022254879,-0.025765296,1.3761126
-0.091152236,-0.025915742,-0.024585905,1.3843445
-0.09192019,-0.026337393,-0.024234515,1.3963914
-0.08586444,-0.022503905,-0.027554786,1.408435
-0.08897054,-0.027609974,-0.02874803,1.4168738
-0.08897117,-0.02365648,-0.02847598,1.4252627
-0.08960426,-0.021104014,-0.030250607,1.4376103
-0.09016133,-0.022017717,-0.031066095,1.4458063
-0.09220679,-0.023852047,-0.028733095,1.4577557
-0.09363405,-0.02529508,-0.028592063,1.4662523
-0.091691956,-0.029804759,-0.028742393,1.4782599
-0.09097752,-0.027993027,-0.027223917,1.4872227
-0.09322925,-0.03267591,-0.027213298,1.4987957
