sep=,
Ang X,Ang Y,Ang Z,Tempo
0.0,0.0,0.0,0.0
0.043549962,0.0067758076,-0.003449502,0.008410214
0.009996839,0.033212908,-0.002456652,0.020666735
0.01718398,0.027651327,-0.00188544,0.029587567
0.002770504,0.039032366,7.937262E-4,0.040791206
0.004006337,0.037025645,-0.0012776162,0.04926001
0.0059193824,0.029531255,-0.00638293,0.06127063
0.003891987,0.028692847,-0.0049982476,0.06987243
9.0372004E-4,0.031041782,-0.006412372,0.07797773
0.005283848,0.03011832,-0.008260932,0.09019833
0.0055832337,0.03211245,-0.009330135,0.098527715
0.0046154642,0.032683775,-0.009722553,0.110701695
0.0013018295,0.035928816,-0.00989747,0.11900543
-0.001880104,0.03419284,-0.010144708,0.13099681
-0.0029357004,0.033124994,-0.01256391,0.13973203
-0.0042022523,0.029459853,-0.015681865,0.15148777
-0.0046692714,0.031746358,-0.01611893,0.15983555
-0.0073764874,0.03239307,-0.01471428,0.16816878
-0.0048677265,0.037158813,-0.014160404,0.18032566
-0.006642446,0.03662136,-0.0141880885,0.18870337
-0.00808388,0.03651015,-0.015230285,0.20084657
-0.009171568,0.036205936,-0.0155479405,0.20923753
-0.01277817,0.037259124,-0.01978713,0.22131914
-0.015518644,0.03680378,-0.023075692,0.22969343
-0.016383884,0.032036837,-0.027371868,0.24170233
-0.017960323,0.03302397,-0.029023295,0.25016174
-0.021395214,0.030978678,-0.029354421,0.26216593
-0.021065662,0.03245718,-0.029345285,0.27051798
-0.020785216,0.029450871,-0.0323304,0.2826141
-0.021204008,0.02901188,-0.034994826,0.29087293
-0.02417284,0.028631596,-0.038709138,0.29926047
-0.028106965,0.030630216,-0.042042896,0.3112014
-0.028960623,0.029644862,-0.04076233,0.31961715
-0.028301504,0.031913854,-0.042800367,0.33178473
-0.0306511,0.03154782,-0.04364767,0.34028175
-0.034260478,0.031014988,-0.04575324,0.35213926
-0.03581066,0.032134987,-0.050060827,0.36070386
-0.03493577,0.031503875,-0.05176879,0.37269524
-0.033510342,0.032652386,-0.052103214,0.38103062
-0.033256277,0.030260777,-0.05341754,0.39305878
-0.035892837,0.031770617,-0.05368769,0.40164304
-0.037360232,0.031425033,-0.052536037,0.4136203
-0.03919404,0.030063976,-0.053657513,0.42204505
